EmployeeCode,NoOfDays,StartDate,EndDate,LeaveTypeCode,LeaveTypeName
182463,,,,,
182464,,,,,
182465,,,,,
182466,,,,,
182467,1.0,2025-01-15,2025-01-15,1.0,Annual Leave
182468,,,,,
182469,1.0,2024-12-26,2024-12-26,1.0,Annual Leave
182470,,,,,
182471,,,,,
182472,1.0,2024-12-26,2024-12-26,1.0,Annual Leave
182472,1.0,2024-12-23,2024-12-23,1.0,Annual Leave
182473,,,,,
182474,,,,,
182475,1.0,2024-12-26,2024-12-26,16.0,Unauthorized leave 
182475,1.0,2024-12-27,2024-12-27,16.0,Unauthorized leave 
182476,,,,,
182477,,,,,
182478,,,,,
182479,,,,,
182480,,,,,
182481,1.0,2025-01-06,2025-01-06,2.0,Casual Leave
182482,,,,,
182483,,,,,
182484,,,,,
182485,,,,,
182486,,,,,
182487,,,,,
182488,1.0,2024-12-23,2024-12-23,16.0,Unauthorized leave 
182488,1.0,2024-12-27,2024-12-27,16.0,Unauthorized leave 
182488,1.0,2024-12-26,2024-12-26,16.0,Unauthorized leave 
182488,1.0,2024-12-24,2024-12-24,16.0,Unauthorized leave 
182489,,,,,
182490,,,,,
182491,,,,,
182492,,,,,
182493,,,,,
182494,0.5,2024-12-31,2024-12-31,2.0,Casual Leave
182494,1.0,2025-01-02,2025-01-02,1.0,Annual Leave
182494,1.0,2025-01-07,2025-01-07,1.0,Annual Leave
182494,1.0,2024-12-30,2024-12-30,2.0,Casual Leave
182495,0.5,2024-12-30,2024-12-30,2.0,Casual Leave
182495,0.5,2025-01-08,2025-01-08,1.0,Annual Leave
182495,0.5,2025-01-20,2025-01-20,1.0,Annual Leave
182496,,,,,
182497,,,,,
182498,0.5,2025-01-09,2025-01-09,2.0,Casual Leave
182498,0.5,2025-01-10,2025-01-10,2.0,Casual Leave
182498,0.5,2025-01-02,2025-01-02,2.0,Casual Leave
182498,1.0,2024-12-24,2024-12-24,1.0,Annual Leave
182498,1.0,2024-12-23,2024-12-23,1.0,Annual Leave
182499,0.5,2025-01-08,2025-01-08,2.0,Casual Leave
182499,1.0,2025-01-09,2025-01-09,2.0,Casual Leave
182500,,,,,
182501,,,,,
182502,,,,,
182503,,,,,
182504,1.0,2024-12-23,2024-12-23,1.0,Annual Leave
182505,1.0,2024-12-27,2024-12-27,2.0,Casual Leave
182506,0.5,2025-01-15,2025-01-15,1.0,Annual Leave
182507,,,,,
182508,1.0,2025-01-20,2025-01-20,2.0,Casual Leave
182508,1.0,2025-01-10,2025-01-10,2.0,Casual Leave
182509,,,,,
182510,,,,,
182511,,,,,
182512,1.0,2025-01-17,2025-01-17,2.0,Casual Leave
182512,1.0,2024-12-26,2024-12-26,16.0,Unauthorized leave 
182512,1.0,2024-12-31,2024-12-31,16.0,Unauthorized leave 
182513,,,,,
182514,0.5,2025-01-03,2025-01-03,2.0,Casual Leave
182514,0.5,2025-01-16,2025-01-16,2.0,Casual Leave
182514,0.5,2024-12-23,2024-12-23,2.0,Casual Leave
182515,,,,,
182516,,,,,
182517,,,,,
182518,,,,,
182519,,,,,
182520,0.5,2025-01-07,2025-01-07,2.0,Casual Leave
182521,1.0,2025-01-15,2025-01-15,2.0,Casual Leave
182521,1.0,2025-01-16,2025-01-16,2.0,Casual Leave
182521,1.0,2025-01-17,2025-01-17,2.0,Casual Leave
182521,0.5,2024-12-24,2024-12-24,2.0,Casual Leave
182522,0.5,2024-12-24,2024-12-24,2.0,Casual Leave
182523,,,,,
182524,,,,,
182525,,,,,
182526,,,,,
